,StationIndex,Station,Year,Month,Day,Rainfall
2976,9,Dinajpur,1999,1,1,0
2977,9,Dinajpur,1999,1,2,0
2978,9,Dinajpur,1999,1,3,0
2979,9,Dinajpur,1999,1,4,0
2980,9,Dinajpur,1999,1,5,0
2981,9,Dinajpur,1999,1,6,0
2982,9,Dinajpur,1999,1,7,0
2983,9,Dinajpur,1999,1,8,0
2984,9,Dinajpur,1999,1,9,0
2985,9,Dinajpur,1999,1,10,0
2986,9,Dinajpur,1999,1,11,0
2987,9,Dinajpur,1999,1,12,0
2988,9,Dinajpur,1999,1,13,0
2989,9,Dinajpur,1999,1,14,0
2990,9,Dinajpur,1999,1,15,0
2991,9,Dinajpur,1999,1,16,0
2992,9,Dinajpur,1999,1,17,0
2993,9,Dinajpur,1999,1,18,0
2994,9,Dinajpur,1999,1,19,0
2995,9,Dinajpur,1999,1,20,0
2996,9,Dinajpur,1999,1,21,0
2997,9,Dinajpur,1999,1,22,0
2998,9,Dinajpur,1999,1,23,0
2999,9,Dinajpur,1999,1,24,0
3000,9,Dinajpur,1999,1,25,0
3001,9,Dinajpur,1999,1,26,0
3002,9,Dinajpur,1999,1,27,0
3003,9,Dinajpur,1999,1,28,0
3004,9,Dinajpur,1999,1,29,0
3005,9,Dinajpur,1999,1,30,0
3006,9,Dinajpur,1999,1,31,0
3007,9,Dinajpur,1999,2,1,0
3008,9,Dinajpur,1999,2,2,0
3009,9,Dinajpur,1999,2,3,0
3010,9,Dinajpur,1999,2,4,0
3011,9,Dinajpur,1999,2,5,0
3012,9,Dinajpur,1999,2,6,0
3013,9,Dinajpur,1999,2,7,0
3014,9,Dinajpur,1999,2,8,0
3015,9,Dinajpur,1999,2,9,0
3016,9,Dinajpur,1999,2,10,0
3017,9,Dinajpur,1999,2,11,0
3018,9,Dinajpur,1999,2,12,0
3019,9,Dinajpur,1999,2,13,0
3020,9,Dinajpur,1999,2,14,0
3021,9,Dinajpur,1999,2,15,0
3022,9,Dinajpur,1999,2,16,0
3023,9,Dinajpur,1999,2,17,0
3024,9,Dinajpur,1999,2,18,0
3025,9,Dinajpur,1999,2,19,0
3026,9,Dinajpur,1999,2,20,0
3027,9,Dinajpur,1999,2,21,0
3028,9,Dinajpur,1999,2,22,0
3029,9,Dinajpur,1999,2,23,0
3030,9,Dinajpur,1999,2,24,0
3031,9,Dinajpur,1999,2,25,0
3032,9,Dinajpur,1999,2,26,0
3033,9,Dinajpur,1999,2,27,0
3034,9,Dinajpur,1999,2,28,0
3035,9,Dinajpur,1999,2,29,0
3036,9,Dinajpur,1999,2,30,0
3037,9,Dinajpur,1999,2,31,0
3038,9,Dinajpur,1999,3,1,0
3039,9,Dinajpur,1999,3,2,0
3040,9,Dinajpur,1999,3,3,0
3041,9,Dinajpur,1999,3,4,0
3042,9,Dinajpur,1999,3,5,0
3043,9,Dinajpur,1999,3,6,0
3044,9,Dinajpur,1999,3,7,0
3045,9,Dinajpur,1999,3,8,0
3046,9,Dinajpur,1999,3,9,0
3047,9,Dinajpur,1999,3,10,0
3048,9,Dinajpur,1999,3,11,0
3049,9,Dinajpur,1999,3,12,0
3050,9,Dinajpur,1999,3,13,0
3051,9,Dinajpur,1999,3,14,0
3052,9,Dinajpur,1999,3,15,0
3053,9,Dinajpur,1999,3,16,0
3054,9,Dinajpur,1999,3,17,0
3055,9,Dinajpur,1999,3,18,0
3056,9,Dinajpur,1999,3,19,0
3057,9,Dinajpur,1999,3,20,0
3058,9,Dinajpur,1999,3,21,0
3059,9,Dinajpur,1999,3,22,0
3060,9,Dinajpur,1999,3,23,0
3061,9,Dinajpur,1999,3,24,0
3062,9,Dinajpur,1999,3,25,0
3063,9,Dinajpur,1999,3,26,0
3064,9,Dinajpur,1999,3,27,0
3065,9,Dinajpur,1999,3,28,0
3066,9,Dinajpur,1999,3,29,0
3067,9,Dinajpur,1999,3,30,0
3068,9,Dinajpur,1999,3,31,0
3069,9,Dinajpur,1999,4,1,0
3070,9,Dinajpur,1999,4,2,0
3071,9,Dinajpur,1999,4,3,0
3072,9,Dinajpur,1999,4,4,0
3073,9,Dinajpur,1999,4,5,0
3074,9,Dinajpur,1999,4,6,0
3075,9,Dinajpur,1999,4,7,26
3076,9,Dinajpur,1999,4,8,0
3077,9,Dinajpur,1999,4,9,18
3078,9,Dinajpur,1999,4,10,7
3079,9,Dinajpur,1999,4,11,0
3080,9,Dinajpur,1999,4,12,16
3081,9,Dinajpur,1999,4,13,0
3082,9,Dinajpur,1999,4,14,1
3083,9,Dinajpur,1999,4,15,0
3084,9,Dinajpur,1999,4,16,0
3085,9,Dinajpur,1999,4,17,0
3086,9,Dinajpur,1999,4,18,0
3087,9,Dinajpur,1999,4,19,0
3088,9,Dinajpur,1999,4,20,0
