,StationIndex,Station,Year,Month,Day,Rainfall
8556,24,Teknaf,1999,1,1,0
8557,24,Teknaf,1999,1,2,0
8558,24,Teknaf,1999,1,3,0
8559,24,Teknaf,1999,1,4,0
8560,24,Teknaf,1999,1,5,0
8561,24,Teknaf,1999,1,6,0
8562,24,Teknaf,1999,1,7,0
8563,24,Teknaf,1999,1,8,0
8564,24,Teknaf,1999,1,9,0
8565,24,Teknaf,1999,1,10,0
8566,24,Teknaf,1999,1,11,0
8567,24,Teknaf,1999,1,12,0
8568,24,Teknaf,1999,1,13,0
8569,24,Teknaf,1999,1,14,0
8570,24,Teknaf,1999,1,15,0
8571,24,Teknaf,1999,1,16,0
8572,24,Teknaf,1999,1,17,0
8573,24,Teknaf,1999,1,18,0
8574,24,Teknaf,1999,1,19,0
8575,24,Teknaf,1999,1,20,0
8576,24,Teknaf,1999,1,21,0
8577,24,Teknaf,1999,1,22,0
8578,24,Teknaf,1999,1,23,0
8579,24,Teknaf,1999,1,24,0
8580,24,Teknaf,1999,1,25,0
8581,24,Teknaf,1999,1,26,0
8582,24,Teknaf,1999,1,27,0
8583,24,Teknaf,1999,1,28,0
8584,24,Teknaf,1999,1,29,0
8585,24,Teknaf,1999,1,30,0
8586,24,Teknaf,1999,1,31,0
8587,24,Teknaf,1999,2,1,0
8588,24,Teknaf,1999,2,2,0
8589,24,Teknaf,1999,2,3,0
8590,24,Teknaf,1999,2,4,0
8591,24,Teknaf,1999,2,5,0
8592,24,Teknaf,1999,2,6,0
8593,24,Teknaf,1999,2,7,0
8594,24,Teknaf,1999,2,8,0
8595,24,Teknaf,1999,2,9,0
8596,24,Teknaf,1999,2,10,0
8597,24,Teknaf,1999,2,11,0
8598,24,Teknaf,1999,2,12,0
8599,24,Teknaf,1999,2,13,0
8600,24,Teknaf,1999,2,14,0
8601,24,Teknaf,1999,2,15,0
8602,24,Teknaf,1999,2,16,0
8603,24,Teknaf,1999,2,17,0
8604,24,Teknaf,1999,2,18,0
8605,24,Teknaf,1999,2,19,0
8606,24,Teknaf,1999,2,20,0
8607,24,Teknaf,1999,2,21,0
8608,24,Teknaf,1999,2,22,0
8609,24,Teknaf,1999,2,23,0
8610,24,Teknaf,1999,2,24,0
8611,24,Teknaf,1999,2,25,0
8612,24,Teknaf,1999,2,26,0
8613,24,Teknaf,1999,2,27,0
8614,24,Teknaf,1999,2,28,0
8615,24,Teknaf,1999,2,29,0
8616,24,Teknaf,1999,2,30,0
8617,24,Teknaf,1999,2,31,0
8618,24,Teknaf,1999,3,1,0
8619,24,Teknaf,1999,3,2,0
8620,24,Teknaf,1999,3,3,0
8621,24,Teknaf,1999,3,4,0
8622,24,Teknaf,1999,3,5,0
8623,24,Teknaf,1999,3,6,0
8624,24,Teknaf,1999,3,7,0
8625,24,Teknaf,1999,3,8,0
8626,24,Teknaf,1999,3,9,0
8627,24,Teknaf,1999,3,10,0
8628,24,Teknaf,1999,3,11,0
8629,24,Teknaf,1999,3,12,0
8630,24,Teknaf,1999,3,13,0
8631,24,Teknaf,1999,3,14,0
8632,24,Teknaf,1999,3,15,0
8633,24,Teknaf,1999,3,16,0
8634,24,Teknaf,1999,3,17,0
8635,24,Teknaf,1999,3,18,0
8636,24,Teknaf,1999,3,19,0
8637,24,Teknaf,1999,3,20,0
8638,24,Teknaf,1999,3,21,0
8639,24,Teknaf,1999,3,22,0
8640,24,Teknaf,1999,3,23,0
8641,24,Teknaf,1999,3,24,0
8642,24,Teknaf,1999,3,25,0
8643,24,Teknaf,1999,3,26,0
8644,24,Teknaf,1999,3,27,0
8645,24,Teknaf,1999,3,28,0
8646,24,Teknaf,1999,3,29,0
8647,24,Teknaf,1999,3,30,0
8648,24,Teknaf,1999,3,31,0
8649,24,Teknaf,1999,4,1,0
8650,24,Teknaf,1999,4,2,0
8651,24,Teknaf,1999,4,3,0
8652,24,Teknaf,1999,4,4,0
8653,24,Teknaf,1999,4,5,0
8654,24,Teknaf,1999,4,6,0
8655,24,Teknaf,1999,4,7,0
8656,24,Teknaf,1999,4,8,0
8657,24,Teknaf,1999,4,9,0
8658,24,Teknaf,1999,4,10,0
8659,24,Teknaf,1999,4,11,0
8660,24,Teknaf,1999,4,12,0
8661,24,Teknaf,1999,4,13,0
8662,24,Teknaf,1999,4,14,0
8663,24,Teknaf,1999,4,15,0
8664,24,Teknaf,1999,4,16,0
8665,24,Teknaf,1999,4,17,0
8666,24,Teknaf,1999,4,18,0
8667,24,Teknaf,1999,4,19,0
8668,24,Teknaf,1999,4,20,0
8669,24,Teknaf,1999,4,21,0
8670,24,Teknaf,1999,4,22,0
8671,24,Teknaf,1999,4,23,0
8672,24,Teknaf,1999,4,24,0
8673,24,Teknaf,1999,4,25,0
8674,24,Teknaf,1999,4,26,0
8675,24,Teknaf,1999,4,27,0
8676,24,Teknaf,1999,4,28,0
8677,24,Teknaf,1999,4,29,0
8678,24,Teknaf,1999,4,30,0
8679,24,Teknaf,1999,4,31,0
8680,24,Teknaf,1999,5,1,0
8681,24,Teknaf,1999,5,2,0
8682,24,Teknaf,1999,5,3,0
8683,24,Teknaf,1999,5,4,0
8684,24,Teknaf,1999,5,5,0
8685,24,Teknaf,1999,5,6,18
8686,24,Teknaf,1999,5,7,10
8687,24,Teknaf,1999,5,8,21
8688,24,Teknaf,1999,5,9,26
8689,24,Teknaf,1999,5,10,0
8690,24,Teknaf,1999,5,11,0
8691,24,Teknaf,1999,5,12,6
8692,24,Teknaf,1999,5,13,0
8693,24,Teknaf,1999,5,14,0
8694,24,Teknaf,1999,5,15,1
8695,24,Teknaf,1999,5,16,2
8696,24,Teknaf,1999,5,17,25
8697,24,Teknaf,1999,5,18,0
8698,24,Teknaf,1999,5,19,19
8699,24,Teknaf,1999,5,20,30
8700,24,Teknaf,1999,5,21,7
8701,24,Teknaf,1999,5,22,31
8702,24,Teknaf,1999,5,23,57
8703,24,Teknaf,1999,5,24,11
8704,24,Teknaf,1999,5,25,3
8705,24,Teknaf,1999,5,26,19
8706,24,Teknaf,1999,5,27,20
8707,24,Teknaf,1999,5,28,21
8708,24,Teknaf,1999,5,29,80
