,Year,Month,Day,Cluster,Rainfall
115335,2008,1,16,0,0
115336,2008,1,17,0,0
115337,2008,1,18,0,0
115338,2008,1,19,0,0
115339,2008,1,20,0,0
115340,2008,1,21,0,0
115341,2008,1,22,0,0
115342,2008,1,23,0,0
115343,2008,1,24,0,0
115344,2008,1,25,0,4
115345,2008,1,26,0,12
115346,2008,1,27,0,7
115347,2008,1,28,0,0
115348,2008,1,29,0,0
115349,2008,1,30,0,0
115350,2008,1,31,0,0
115366,2008,2,16,0,0
115367,2008,2,17,0,0
115368,2008,2,18,0,0
115369,2008,2,19,0,0
115370,2008,2,20,0,54
115371,2008,2,21,0,0
115372,2008,2,22,0,0
115373,2008,2,23,0,0
115374,2008,2,24,0,0
115375,2008,2,25,0,0
115376,2008,2,26,0,0
115377,2008,2,27,0,0
115378,2008,2,28,0,0
115379,2008,2,29,0,0
115380,2008,2,30,0,0
115381,2008,2,31,0,0
115397,2008,3,16,0,1
115398,2008,3,17,0,0
115399,2008,3,18,0,0
115400,2008,3,19,0,0
115401,2008,3,20,0,6
115402,2008,3,21,0,6
115403,2008,3,22,0,0
115404,2008,3,23,0,0
115405,2008,3,24,0,0
115406,2008,3,25,0,0
115407,2008,3,26,0,0
115408,2008,3,27,0,0
115409,2008,3,28,0,12
115410,2008,3,29,0,0
115411,2008,3,30,0,0
115412,2008,3,31,0,0
115428,2008,4,16,0,0
115429,2008,4,17,0,0
115430,2008,4,18,0,8
115431,2008,4,19,0,0
115432,2008,4,20,0,0
115433,2008,4,21,0,0
115434,2008,4,22,0,0
115435,2008,4,23,0,0
115436,2008,4,24,0,0
115437,2008,4,25,0,0
115438,2008,4,26,0,0
115439,2008,4,27,0,0
115440,2008,4,28,0,0
115441,2008,4,29,0,0
115442,2008,4,30,0,0
115443,2008,4,31,0,0
115459,2008,5,16,0,0
115460,2008,5,17,0,7
115461,2008,5,18,0,0
115462,2008,5,19,0,32
115463,2008,5,20,0,1
115464,2008,5,21,0,0
115465,2008,5,22,0,0
115466,2008,5,23,0,4
115467,2008,5,24,0,0
115468,2008,5,25,0,3
115469,2008,5,26,0,3
115470,2008,5,27,0,68
115471,2008,5,28,0,0
115472,2008,5,29,0,15
115473,2008,5,30,0,0
115474,2008,5,31,0,2
115490,2008,6,16,0,2
115491,2008,6,17,0,1
115492,2008,6,18,0,27
115493,2008,6,19,0,22
115494,2008,6,20,0,10
115495,2008,6,21,0,9
115496,2008,6,22,0,0
115497,2008,6,23,0,0
115498,2008,6,24,0,0
115499,2008,6,25,0,3
115500,2008,6,26,0,0
115501,2008,6,27,0,0
115502,2008,6,28,0,3
115503,2008,6,29,0,111
115504,2008,6,30,0,40
115505,2008,6,31,0,0
115521,2008,7,16,0,46
115522,2008,7,17,0,32
115523,2008,7,18,0,4
115524,2008,7,19,0,5
115525,2008,7,20,0,13
115526,2008,7,21,0,59
115527,2008,7,22,0,0
115528,2008,7,23,0,0
115529,2008,7,24,0,0
115530,2008,7,25,0,0
115531,2008,7,26,0,0
115532,2008,7,27,0,3
115533,2008,7,28,0,6
115534,2008,7,29,0,0
115535,2008,7,30,0,0
115536,2008,7,31,0,0
115552,2008,8,16,0,0
115553,2008,8,17,0,5
115554,2008,8,18,0,10
115555,2008,8,19,0,26
115556,2008,8,20,0,48
115557,2008,8,21,0,1
115558,2008,8,22,0,0
115559,2008,8,23,0,0
115560,2008,8,24,0,13
115561,2008,8,25,0,0
115562,2008,8,26,0,0
115563,2008,8,27,0,8
115564,2008,8,28,0,3
115565,2008,8,29,0,39
115566,2008,8,30,0,9
115567,2008,8,31,0,1
115583,2008,9,16,0,26
115584,2008,9,17,0,0
115585,2008,9,18,0,3
115586,2008,9,19,0,12
115587,2008,9,20,0,44
115588,2008,9,21,0,1
115589,2008,9,22,0,34
115590,2008,9,23,0,20
115591,2008,9,24,0,5
115592,2008,9,25,0,0
115593,2008,9,26,0,0
115594,2008,9,27,0,58
115595,2008,9,28,0,13
115596,2008,9,29,0,0
115597,2008,9,30,0,0
115598,2008,9,31,0,0
115614,2008,10,16,0,0
115615,2008,10,17,0,0
115616,2008,10,18,0,0
115617,2008,10,19,0,0
115618,2008,10,20,0,0
115619,2008,10,21,0,0
115620,2008,10,22,0,0
115621,2008,10,23,0,0
115622,2008,10,24,0,0
115623,2008,10,25,0,3
115624,2008,10,26,0,47
115625,2008,10,27,0,76
115626,2008,10,28,0,0
115627,2008,10,29,0,0
115628,2008,10,30,0,0
115629,2008,10,31,0,0
115645,2008,11,16,0,0
115646,2008,11,17,0,0
115647,2008,11,18,0,0
115648,2008,11,19,0,0
115649,2008,11,20,0,0
115650,2008,11,21,0,0
115651,2008,11,22,0,0
115652,2008,11,23,0,0
115653,2008,11,24,0,0
115654,2008,11,25,0,0
115655,2008,11,26,0,0
115656,2008,11,27,0,0
115657,2008,11,28,0,0
115658,2008,11,29,0,0
115659,2008,11,30,0,0
115660,2008,11,31,0,0
115676,2008,12,16,0,0
115677,2008,12,17,0,0
115678,2008,12,18,0,0
115679,2008,12,19,0,0
115680,2008,12,20,0,0
115681,2008,12,21,0,0
115682,2008,12,22,0,0
115683,2008,12,23,0,0
115684,2008,12,24,0,0
115685,2008,12,25,0,0
115686,2008,12,26,0,0
115687,2008,12,27,0,0
115688,2008,12,28,0,0
115689,2008,12,29,0,0
115690,2008,12,30,0,0
115691,2008,12,31,0,0
115707,2008,1,16,0,0
115708,2008,1,17,0,0
115709,2008,1,18,0,0
115710,2008,1,19,0,0
115711,2008,1,20,0,0
115712,2008,1,21,0,0
115713,2008,1,22,0,0
115714,2008,1,23,0,0
115715,2008,1,24,0,0
115716,2008,1,25,0,8
115717,2008,1,26,0,3
115718,2008,1,27,0,5
115719,2008,1,28,0,0
115720,2008,1,29,0,0
115721,2008,1,30,0,0
115722,2008,1,31,0,12
115738,2008,2,16,0,0
