,Year,Month,Day,Cluster,Rainfall
0,1999,1,1,2,0
1,1999,1,2,2,0
2,1999,1,3,2,0
3,1999,1,4,2,0
4,1999,1,5,2,0
5,1999,1,6,2,0
6,1999,1,7,2,0
7,1999,1,8,2,0
8,1999,1,9,2,0
9,1999,1,10,2,0
10,1999,1,11,2,0
11,1999,1,12,2,0
12,1999,1,13,2,0
13,1999,1,14,2,0
14,1999,1,15,2,0
31,1999,2,1,2,0
32,1999,2,2,2,0
33,1999,2,3,2,0
34,1999,2,4,2,0
35,1999,2,5,2,0
36,1999,2,6,2,0
37,1999,2,7,2,0
38,1999,2,8,2,0
39,1999,2,9,2,0
40,1999,2,10,2,0
41,1999,2,11,2,0
42,1999,2,12,2,0
43,1999,2,13,2,0
44,1999,2,14,2,0
45,1999,2,15,2,0
62,1999,3,1,2,0
63,1999,3,2,2,0
64,1999,3,3,2,0
65,1999,3,4,2,0
66,1999,3,5,2,0
67,1999,3,6,2,0
68,1999,3,7,2,0
69,1999,3,8,2,0
70,1999,3,9,2,0
71,1999,3,10,2,0
72,1999,3,11,2,0
73,1999,3,12,2,0
74,1999,3,13,2,0
75,1999,3,14,2,0
76,1999,3,15,2,0
93,1999,4,1,2,0
94,1999,4,2,2,0
95,1999,4,3,2,0
96,1999,4,4,2,0
97,1999,4,5,2,0
98,1999,4,6,2,0
99,1999,4,7,2,0
100,1999,4,8,2,0
101,1999,4,9,2,1
102,1999,4,10,2,1
103,1999,4,11,2,1
104,1999,4,12,2,0
105,1999,4,13,2,0
106,1999,4,14,2,0
107,1999,4,15,2,0
124,1999,5,1,2,0
125,1999,5,2,2,0
126,1999,5,3,2,0
127,1999,5,4,2,0
128,1999,5,5,2,0
129,1999,5,6,2,14
130,1999,5,7,2,53
131,1999,5,8,2,0
132,1999,5,9,2,38
133,1999,5,10,2,4
134,1999,5,11,2,0
135,1999,5,12,2,1
136,1999,5,13,2,21
137,1999,5,14,2,16
138,1999,5,15,2,141
155,1999,6,1,2,0
156,1999,6,2,2,0
157,1999,6,3,2,1
158,1999,6,4,2,0
159,1999,6,5,2,0
160,1999,6,6,2,0
161,1999,6,7,2,9
162,1999,6,8,2,0
