,Year,Month,Day,Cluster,Rainfall
423,1999,2,21,3,0
424,1999,2,22,3,0
425,1999,2,23,3,0
426,1999,2,24,3,0
427,1999,2,25,3,0
428,1999,2,26,3,0
429,1999,2,27,3,0
430,1999,2,28,3,0
431,1999,2,29,3,0
432,1999,2,30,3,0
433,1999,2,31,3,0
449,1999,3,16,3,0
450,1999,3,17,3,0
451,1999,3,18,3,0
452,1999,3,19,3,0
453,1999,3,20,3,0
454,1999,3,21,3,0
455,1999,3,22,3,0
456,1999,3,23,3,0
457,1999,3,24,3,0
458,1999,3,25,3,0
459,1999,3,26,3,0
460,1999,3,27,3,0
461,1999,3,28,3,0
462,1999,3,29,3,0
463,1999,3,30,3,0
464,1999,3,31,3,0
480,1999,4,16,3,0
481,1999,4,17,3,0
482,1999,4,18,3,0
483,1999,4,19,3,4
484,1999,4,20,3,0
485,1999,4,21,3,0
486,1999,4,22,3,0
487,1999,4,23,3,0
488,1999,4,24,3,0
489,1999,4,25,3,0
490,1999,4,26,3,0
491,1999,4,27,3,0
492,1999,4,28,3,0
493,1999,4,29,3,0
494,1999,4,30,3,0
495,1999,4,31,3,0
511,1999,5,16,3,10
512,1999,5,17,3,0
513,1999,5,18,3,0
514,1999,5,19,3,0
515,1999,5,20,3,0
516,1999,5,21,3,12
517,1999,5,22,3,1
518,1999,5,23,3,0
519,1999,5,24,3,0
520,1999,5,25,3,1
521,1999,5,26,3,0
522,1999,5,27,3,0
523,1999,5,28,3,0
524,1999,5,29,3,6
525,1999,5,30,3,24
526,1999,5,31,3,0
542,1999,6,16,3,0
543,1999,6,17,3,0
544,1999,6,18,3,0
545,1999,6,19,3,3
546,1999,6,20,3,0
547,1999,6,21,3,1
548,1999,6,22,3,1
549,1999,6,23,3,62
550,1999,6,24,3,12
551,1999,6,25,3,3
552,1999,6,26,3,18
553,1999,6,27,3,48
554,1999,6,28,3,5
555,1999,6,29,3,0
556,1999,6,30,3,2
557,1999,6,31,3,0
573,1999,7,16,3,2
574,1999,7,17,3,1
575,1999,7,18,3,1
576,1999,7,19,3,51
577,1999,7,20,3,28
578,1999,7,21,3,14
579,1999,7,22,3,30
580,1999,7,23,3,0
581,1999,7,24,3,0
582,1999,7,25,3,0
583,1999,7,26,3,0
584,1999,7,27,3,0
585,1999,7,28,3,12
586,1999,7,29,3,0
587,1999,7,30,3,3
588,1999,7,31,3,4
604,1999,8,16,3,2
605,1999,8,17,3,0
606,1999,8,18,3,0
607,1999,8,19,3,4
608,1999,8,20,3,1
609,1999,8,21,3,0
610,1999,8,22,3,2
611,1999,8,23,3,0
612,1999,8,24,3,0
613,1999,8,25,3,0
614,1999,8,26,3,56
615,1999,8,27,3,3
616,1999,8,28,3,0
617,1999,8,29,3,0
618,1999,8,30,3,2
619,1999,8,31,3,3
635,1999,9,16,3,0
636,1999,9,17,3,0
637,1999,9,18,3,43
638,1999,9,19,3,1
639,1999,9,20,3,0
640,1999,9,21,3,2
641,1999,9,22,3,78
642,1999,9,23,3,3
643,1999,9,24,3,28
644,1999,9,25,3,2
645,1999,9,26,3,0
646,1999,9,27,3,8
647,1999,9,28,3,0
648,1999,9,29,3,0
649,1999,9,30,3,0
650,1999,9,31,3,0
666,1999,10,16,3,0
667,1999,10,17,3,0
668,1999,10,18,3,81
669,1999,10,19,3,49
670,1999,10,20,3,0
671,1999,10,21,3,1
672,1999,10,22,3,0
673,1999,10,23,3,0
674,1999,10,24,3,0
675,1999,10,25,3,0
676,1999,10,26,3,0
677,1999,10,27,3,0
678,1999,10,28,3,0
679,1999,10,29,3,0
680,1999,10,30,3,0
681,1999,10,31,3,0
697,1999,11,16,3,0
698,1999,11,17,3,0
699,1999,11,18,3,0
700,1999,11,19,3,0
701,1999,11,20,3,0
702,1999,11,21,3,0
703,1999,11,22,3,0
704,1999,11,23,3,0
705,1999,11,24,3,0
706,1999,11,25,3,0
707,1999,11,26,3,0
708,1999,11,27,3,0
709,1999,11,28,3,0
710,1999,11,29,3,0
711,1999,11,30,3,0
712,1999,11,31,3,0
728,1999,12,16,3,0
729,1999,12,17,3,0
730,1999,12,18,3,0
731,1999,12,19,3,0
732,1999,12,20,3,0
733,1999,12,21,3,0
734,1999,12,22,3,0
