,StationIndex,Station,Year,Month,Day,Rainfall
8928,25,Chittagong,1999,1,1,0
8929,25,Chittagong,1999,1,2,0
8930,25,Chittagong,1999,1,3,0
8931,25,Chittagong,1999,1,4,0
8932,25,Chittagong,1999,1,5,0
8933,25,Chittagong,1999,1,6,0
8934,25,Chittagong,1999,1,7,0
8935,25,Chittagong,1999,1,8,0
8936,25,Chittagong,1999,1,9,0
8937,25,Chittagong,1999,1,10,0
8938,25,Chittagong,1999,1,11,0
8939,25,Chittagong,1999,1,12,0
8940,25,Chittagong,1999,1,13,0
8941,25,Chittagong,1999,1,14,0
8942,25,Chittagong,1999,1,15,0
8943,25,Chittagong,1999,1,16,0
8944,25,Chittagong,1999,1,17,0
8945,25,Chittagong,1999,1,18,0
8946,25,Chittagong,1999,1,19,0
8947,25,Chittagong,1999,1,20,0
8948,25,Chittagong,1999,1,21,0
8949,25,Chittagong,1999,1,22,0
8950,25,Chittagong,1999,1,23,0
8951,25,Chittagong,1999,1,24,0
8952,25,Chittagong,1999,1,25,0
8953,25,Chittagong,1999,1,26,0
8954,25,Chittagong,1999,1,27,0
8955,25,Chittagong,1999,1,28,0
8956,25,Chittagong,1999,1,29,0
8957,25,Chittagong,1999,1,30,0
8958,25,Chittagong,1999,1,31,0
8959,25,Chittagong,1999,2,1,0
8960,25,Chittagong,1999,2,2,0
8961,25,Chittagong,1999,2,3,0
8962,25,Chittagong,1999,2,4,0
8963,25,Chittagong,1999,2,5,0
8964,25,Chittagong,1999,2,6,0
8965,25,Chittagong,1999,2,7,0
8966,25,Chittagong,1999,2,8,0
8967,25,Chittagong,1999,2,9,0
8968,25,Chittagong,1999,2,10,0
8969,25,Chittagong,1999,2,11,0
8970,25,Chittagong,1999,2,12,0
8971,25,Chittagong,1999,2,13,0
8972,25,Chittagong,1999,2,14,0
8973,25,Chittagong,1999,2,15,0
8974,25,Chittagong,1999,2,16,0
8975,25,Chittagong,1999,2,17,0
8976,25,Chittagong,1999,2,18,0
8977,25,Chittagong,1999,2,19,0
8978,25,Chittagong,1999,2,20,0
8979,25,Chittagong,1999,2,21,0
8980,25,Chittagong,1999,2,22,0
8981,25,Chittagong,1999,2,23,0
8982,25,Chittagong,1999,2,24,0
8983,25,Chittagong,1999,2,25,0
8984,25,Chittagong,1999,2,26,0
8985,25,Chittagong,1999,2,27,0
8986,25,Chittagong,1999,2,28,0
8987,25,Chittagong,1999,2,29,0
8988,25,Chittagong,1999,2,30,0
8989,25,Chittagong,1999,2,31,0
8990,25,Chittagong,1999,3,1,0
8991,25,Chittagong,1999,3,2,0
8992,25,Chittagong,1999,3,3,0
8993,25,Chittagong,1999,3,4,0
8994,25,Chittagong,1999,3,5,0
8995,25,Chittagong,1999,3,6,0
8996,25,Chittagong,1999,3,7,0
8997,25,Chittagong,1999,3,8,0
8998,25,Chittagong,1999,3,9,0
8999,25,Chittagong,1999,3,10,0
9000,25,Chittagong,1999,3,11,0
9001,25,Chittagong,1999,3,12,0
9002,25,Chittagong,1999,3,13,0
9003,25,Chittagong,1999,3,14,0
9004,25,Chittagong,1999,3,15,0
9005,25,Chittagong,1999,3,16,0
9006,25,Chittagong,1999,3,17,0
9007,25,Chittagong,1999,3,18,0
9008,25,Chittagong,1999,3,19,0
9009,25,Chittagong,1999,3,20,0
9010,25,Chittagong,1999,3,21,0
9011,25,Chittagong,1999,3,22,0
9012,25,Chittagong,1999,3,23,0
9013,25,Chittagong,1999,3,24,0
9014,25,Chittagong,1999,3,25,0
9015,25,Chittagong,1999,3,26,0
9016,25,Chittagong,1999,3,27,0
9017,25,Chittagong,1999,3,28,0
9018,25,Chittagong,1999,3,29,0
9019,25,Chittagong,1999,3,30,0
9020,25,Chittagong,1999,3,31,0
9021,25,Chittagong,1999,4,1,0
9022,25,Chittagong,1999,4,2,0
9023,25,Chittagong,1999,4,3,0
9024,25,Chittagong,1999,4,4,0
9025,25,Chittagong,1999,4,5,0
9026,25,Chittagong,1999,4,6,0
9027,25,Chittagong,1999,4,7,0
9028,25,Chittagong,1999,4,8,0
9029,25,Chittagong,1999,4,9,0
9030,25,Chittagong,1999,4,10,0
9031,25,Chittagong,1999,4,11,0
9032,25,Chittagong,1999,4,12,0
9033,25,Chittagong,1999,4,13,0
9034,25,Chittagong,1999,4,14,0
9035,25,Chittagong,1999,4,15,0
9036,25,Chittagong,1999,4,16,0
9037,25,Chittagong,1999,4,17,0
9038,25,Chittagong,1999,4,18,0
9039,25,Chittagong,1999,4,19,0
9040,25,Chittagong,1999,4,20,0
9041,25,Chittagong,1999,4,21,0
9042,25,Chittagong,1999,4,22,0
9043,25,Chittagong,1999,4,23,0
9044,25,Chittagong,1999,4,24,0
9045,25,Chittagong,1999,4,25,0
9046,25,Chittagong,1999,4,26,0
9047,25,Chittagong,1999,4,27,0
9048,25,Chittagong,1999,4,28,0
9049,25,Chittagong,1999,4,29,0
9050,25,Chittagong,1999,4,30,0
9051,25,Chittagong,1999,4,31,0
9052,25,Chittagong,1999,5,1,0
9053,25,Chittagong,1999,5,2,0
9054,25,Chittagong,1999,5,3,0
9055,25,Chittagong,1999,5,4,0
9056,25,Chittagong,1999,5,5,0
9057,25,Chittagong,1999,5,6,27
9058,25,Chittagong,1999,5,7,23
9059,25,Chittagong,1999,5,8,43
9060,25,Chittagong,1999,5,9,31
9061,25,Chittagong,1999,5,10,0
9062,25,Chittagong,1999,5,11,0
9063,25,Chittagong,1999,5,12,14
9064,25,Chittagong,1999,5,13,2
9065,25,Chittagong,1999,5,14,4
9066,25,Chittagong,1999,5,15,1
9067,25,Chittagong,1999,5,16,21
9068,25,Chittagong,1999,5,17,1
9069,25,Chittagong,1999,5,18,0
9070,25,Chittagong,1999,5,19,0
9071,25,Chittagong,1999,5,20,1
9072,25,Chittagong,1999,5,21,5
9073,25,Chittagong,1999,5,22,0
9074,25,Chittagong,1999,5,23,9
9075,25,Chittagong,1999,5,24,154
9076,25,Chittagong,1999,5,25,0
9077,25,Chittagong,1999,5,26,16
9078,25,Chittagong,1999,5,27,0
9079,25,Chittagong,1999,5,28,3
9080,25,Chittagong,1999,5,29,27
9081,25,Chittagong,1999,5,30,81
9082,25,Chittagong,1999,5,31,0
9083,25,Chittagong,1999,6,1,0
9084,25,Chittagong,1999,6,2,0
9085,25,Chittagong,1999,6,3,28
9086,25,Chittagong,1999,6,4,0
9087,25,Chittagong,1999,6,5,25
9088,25,Chittagong,1999,6,6,4
9089,25,Chittagong,1999,6,7,0
9090,25,Chittagong,1999,6,8,0
9091,25,Chittagong,1999,6,9,24
9092,25,Chittagong,1999,6,10,16
9093,25,Chittagong,1999,6,11,4
9094,25,Chittagong,1999,6,12,35
9095,25,Chittagong,1999,6,13,45
9096,25,Chittagong,1999,6,14,0
9097,25,Chittagong,1999,6,15,0
9098,25,Chittagong,1999,6,16,0
9099,25,Chittagong,1999,6,17,0
9100,25,Chittagong,1999,6,18,0
9101,25,Chittagong,1999,6,19,9
9102,25,Chittagong,1999,6,20,31
9103,25,Chittagong,1999,6,21,113
9104,25,Chittagong,1999,6,22,99
9105,25,Chittagong,1999,6,23,180
9106,25,Chittagong,1999,6,24,72
9107,25,Chittagong,1999,6,25,66
9108,25,Chittagong,1999,6,26,30
9109,25,Chittagong,1999,6,27,18
9110,25,Chittagong,1999,6,28,35
9111,25,Chittagong,1999,6,29,4
9112,25,Chittagong,1999,6,30,41
9113,25,Chittagong,1999,6,31,0
9114,25,Chittagong,1999,7,1,22
9115,25,Chittagong,1999,7,2,19
9116,25,Chittagong,1999,7,3,3
9117,25,Chittagong,1999,7,4,2
9118,25,Chittagong,1999,7,5,0
9119,25,Chittagong,1999,7,6,1
9120,25,Chittagong,1999,7,7,11
9121,25,Chittagong,1999,7,8,2
9122,25,Chittagong,1999,7,9,1
9123,25,Chittagong,1999,7,10,5
9124,25,Chittagong,1999,7,11,0
9125,25,Chittagong,1999,7,12,115
9126,25,Chittagong,1999,7,13,141
9127,25,Chittagong,1999,7,14,0
9128,25,Chittagong,1999,7,15,0
9129,25,Chittagong,1999,7,16,7
9130,25,Chittagong,1999,7,17,0
9131,25,Chittagong,1999,7,18,9
9132,25,Chittagong,1999,7,19,0
9133,25,Chittagong,1999,7,20,81
9134,25,Chittagong,1999,7,21,49
9135,25,Chittagong,1999,7,22,6
9136,25,Chittagong,1999,7,23,1
9137,25,Chittagong,1999,7,24,0
9138,25,Chittagong,1999,7,25,0
9139,25,Chittagong,1999,7,26,2
9140,25,Chittagong,1999,7,27,9
9141,25,Chittagong,1999,7,28,0
9142,25,Chittagong,1999,7,29,0
9143,25,Chittagong,1999,7,30,0
9144,25,Chittagong,1999,7,31,5
9145,25,Chittagong,1999,8,1,0
9146,25,Chittagong,1999,8,2,2
9147,25,Chittagong,1999,8,3,7
9148,25,Chittagong,1999,8,4,29
9149,25,Chittagong,1999,8,5,7
9150,25,Chittagong,1999,8,6,29
9151,25,Chittagong,1999,8,7,5
9152,25,Chittagong,1999,8,8,9
9153,25,Chittagong,1999,8,9,28
9154,25,Chittagong,1999,8,10,86
9155,25,Chittagong,1999,8,11,0
9156,25,Chittagong,1999,8,12,123
9157,25,Chittagong,1999,8,13,110
9158,25,Chittagong,1999,8,14,206
9159,25,Chittagong,1999,8,15,57
9160,25,Chittagong,1999,8,16,53
9161,25,Chittagong,1999,8,17,0
9162,25,Chittagong,1999,8,18,0
9163,25,Chittagong,1999,8,19,0
9164,25,Chittagong,1999,8,20,0
9165,25,Chittagong,1999,8,21,0
9166,25,Chittagong,1999,8,22,0
9167,25,Chittagong,1999,8,23,0
9168,25,Chittagong,1999,8,24,0
9169,25,Chittagong,1999,8,25,0
9170,25,Chittagong,1999,8,26,0
9171,25,Chittagong,1999,8,27,11
9172,25,Chittagong,1999,8,28,74
9173,25,Chittagong,1999,8,29,10
9174,25,Chittagong,1999,8,30,2
9175,25,Chittagong,1999,8,31,0
9176,25,Chittagong,1999,9,1,13
9177,25,Chittagong,1999,9,2,0
9178,25,Chittagong,1999,9,3,4
9179,25,Chittagong,1999,9,4,0
9180,25,Chittagong,1999,9,5,0
9181,25,Chittagong,1999,9,6,1
9182,25,Chittagong,1999,9,7,0
9183,25,Chittagong,1999,9,8,2
9184,25,Chittagong,1999,9,9,5
9185,25,Chittagong,1999,9,10,1
9186,25,Chittagong,1999,9,11,11
9187,25,Chittagong,1999,9,12,0
9188,25,Chittagong,1999,9,13,4
9189,25,Chittagong,1999,9,14,0
9190,25,Chittagong,1999,9,15,58
9191,25,Chittagong,1999,9,16,11
9192,25,Chittagong,1999,9,17,0
9193,25,Chittagong,1999,9,18,0
9194,25,Chittagong,1999,9,19,1
9195,25,Chittagong,1999,9,20,4
9196,25,Chittagong,1999,9,21,5
9197,25,Chittagong,1999,9,22,21
9198,25,Chittagong,1999,9,23,60
9199,25,Chittagong,1999,9,24,2
9200,25,Chittagong,1999,9,25,0
9201,25,Chittagong,1999,9,26,0
9202,25,Chittagong,1999,9,27,0
9203,25,Chittagong,1999,9,28,0
9204,25,Chittagong,1999,9,29,0
9205,25,Chittagong,1999,9,30,0
9206,25,Chittagong,1999,9,31,0
9207,25,Chittagong,1999,10,1,0
9208,25,Chittagong,1999,10,2,0
9209,25,Chittagong,1999,10,3,0
9210,25,Chittagong,1999,10,4,5
9211,25,Chittagong,1999,10,5,13
9212,25,Chittagong,1999,10,6,0
9213,25,Chittagong,1999,10,7,0
9214,25,Chittagong,1999,10,8,15
9215,25,Chittagong,1999,10,9,29
9216,25,Chittagong,1999,10,10,4
9217,25,Chittagong,1999,10,11,0
9218,25,Chittagong,1999,10,12,0
9219,25,Chittagong,1999,10,13,0
9220,25,Chittagong,1999,10,14,0
9221,25,Chittagong,1999,10,15,0
9222,25,Chittagong,1999,10,16,0
9223,25,Chittagong,1999,10,17,0
9224,25,Chittagong,1999,10,18,71
9225,25,Chittagong,1999,10,19,39
9226,25,Chittagong,1999,10,20,18
9227,25,Chittagong,1999,10,21,0
9228,25,Chittagong,1999,10,22,0
9229,25,Chittagong,1999,10,23,0
9230,25,Chittagong,1999,10,24,0
9231,25,Chittagong,1999,10,25,0
9232,25,Chittagong,1999,10,26,0
9233,25,Chittagong,1999,10,27,0
9234,25,Chittagong,1999,10,28,0
9235,25,Chittagong,1999,10,29,6
9236,25,Chittagong,1999,10,30,1
9237,25,Chittagong,1999,10,31,0
9238,25,Chittagong,1999,11,1,0
9239,25,Chittagong,1999,11,2,0
9240,25,Chittagong,1999,11,3,0
9241,25,Chittagong,1999,11,4,2
9242,25,Chittagong,1999,11,5,0
9243,25,Chittagong,1999,11,6,0
9244,25,Chittagong,1999,11,7,0
9245,25,Chittagong,1999,11,8,0
9246,25,Chittagong,1999,11,9,0
9247,25,Chittagong,1999,11,10,0
9248,25,Chittagong,1999,11,11,0
9249,25,Chittagong,1999,11,12,0
9250,25,Chittagong,1999,11,13,0
9251,25,Chittagong,1999,11,14,0
9252,25,Chittagong,1999,11,15,0
9253,25,Chittagong,1999,11,16,0
9254,25,Chittagong,1999,11,17,0
9255,25,Chittagong,1999,11,18,0
9256,25,Chittagong,1999,11,19,0
9257,25,Chittagong,1999,11,20,0
9258,25,Chittagong,1999,11,21,0
9259,25,Chittagong,1999,11,22,0
9260,25,Chittagong,1999,11,23,0
9261,25,Chittagong,1999,11,24,0
9262,25,Chittagong,1999,11,25,0
9263,25,Chittagong,1999,11,26,0
9264,25,Chittagong,1999,11,27,0
9265,25,Chittagong,1999,11,28,0
9266,25,Chittagong,1999,11,29,0
9267,25,Chittagong,1999,11,30,0
9268,25,Chittagong,1999,11,31,0
9269,25,Chittagong,1999,12,1,0
9270,25,Chittagong,1999,12,2,0
9271,25,Chittagong,1999,12,3,0
9272,25,Chittagong,1999,12,4,0
9273,25,Chittagong,1999,12,5,0
9274,25,Chittagong,1999,12,6,0
9275,25,Chittagong,1999,12,7,0
9276,25,Chittagong,1999,12,8,0
9277,25,Chittagong,1999,12,9,0
9278,25,Chittagong,1999,12,10,25
9279,25,Chittagong,1999,12,11,62
9280,25,Chittagong,1999,12,12,20
9281,25,Chittagong,1999,12,13,0
9282,25,Chittagong,1999,12,14,0
9283,25,Chittagong,1999,12,15,0
9284,25,Chittagong,1999,12,16,0
9285,25,Chittagong,1999,12,17,0
9286,25,Chittagong,1999,12,18,0
9287,25,Chittagong,1999,12,19,0
9288,25,Chittagong,1999,12,20,0
9289,25,Chittagong,1999,12,21,0
9290,25,Chittagong,1999,12,22,0
9291,25,Chittagong,1999,12,23,0
9292,25,Chittagong,1999,12,24,0
9293,25,Chittagong,1999,12,25,0
9294,25,Chittagong,1999,12,26,0
9295,25,Chittagong,1999,12,27,0
9296,25,Chittagong,1999,12,28,0
9297,25,Chittagong,1999,12,29,0
9298,25,Chittagong,1999,12,30,0
9299,25,Chittagong,1999,12,31,0
21948,25,Chittagong,2000,1,1,0
21949,25,Chittagong,2000,1,2,0
21950,25,Chittagong,2000,1,3,0
21951,25,Chittagong,2000,1,4,0
21952,25,Chittagong,2000,1,5,0
21953,25,Chittagong,2000,1,6,0
21954,25,Chittagong,2000,1,7,0
21955,25,Chittagong,2000,1,8,0
21956,25,Chittagong,2000,1,9,0
21957,25,Chittagong,2000,1,10,0
21958,25,Chittagong,2000,1,11,0
21959,25,Chittagong,2000,1,12,0
21960,25,Chittagong,2000,1,13,0
21961,25,Chittagong,2000,1,14,0
21962,25,Chittagong,2000,1,15,0
21963,25,Chittagong,2000,1,16,0
21964,25,Chittagong,2000,1,17,0
21965,25,Chittagong,2000,1,18,0
21966,25,Chittagong,2000,1,19,0
21967,25,Chittagong,2000,1,20,0
21968,25,Chittagong,2000,1,21,0
21969,25,Chittagong,2000,1,22,10
21970,25,Chittagong,2000,1,23,0
21971,25,Chittagong,2000,1,24,2
21972,25,Chittagong,2000,1,25,0
21973,25,Chittagong,2000,1,26,0
21974,25,Chittagong,2000,1,27,0
21975,25,Chittagong,2000,1,28,0
21976,25,Chittagong,2000,1,29,0
21977,25,Chittagong,2000,1,30,5
21978,25,Chittagong,2000,1,31,0
21979,25,Chittagong,2000,2,1,0
21980,25,Chittagong,2000,2,2,0
21981,25,Chittagong,2000,2,3,0
21982,25,Chittagong,2000,2,4,0
21983,25,Chittagong,2000,2,5,0
21984,25,Chittagong,2000,2,6,0
21985,25,Chittagong,2000,2,7,0
21986,25,Chittagong,2000,2,8,0
21987,25,Chittagong,2000,2,9,0
21988,25,Chittagong,2000,2,10,0
21989,25,Chittagong,2000,2,11,0
21990,25,Chittagong,2000,2,12,0
21991,25,Chittagong,2000,2,13,0
21992,25,Chittagong,2000,2,14,0
21993,25,Chittagong,2000,2,15,0
21994,25,Chittagong,2000,2,16,0
21995,25,Chittagong,2000,2,17,0
21996,25,Chittagong,2000,2,18,0
21997,25,Chittagong,2000,2,19,0
21998,25,Chittagong,2000,2,20,0
21999,25,Chittagong,2000,2,21,0
22000,25,Chittagong,2000,2,22,0
22001,25,Chittagong,2000,2,23,0
22002,25,Chittagong,2000,2,24,0
22003,25,Chittagong,2000,2,25,0
22004,25,Chittagong,2000,2,26,0
