,StationIndex,Station,Year,Month,Day,Rainfall
2232,7,Sylhet,1999,1,1,0
2233,7,Sylhet,1999,1,2,0
2234,7,Sylhet,1999,1,3,0
2235,7,Sylhet,1999,1,4,0
2236,7,Sylhet,1999,1,5,0
2237,7,Sylhet,1999,1,6,0
2238,7,Sylhet,1999,1,7,0
2239,7,Sylhet,1999,1,8,0
2240,7,Sylhet,1999,1,9,0
2241,7,Sylhet,1999,1,10,0
2242,7,Sylhet,1999,1,11,0
2243,7,Sylhet,1999,1,12,0
2244,7,Sylhet,1999,1,13,0
2245,7,Sylhet,1999,1,14,0
2246,7,Sylhet,1999,1,15,0
2247,7,Sylhet,1999,1,16,0
2248,7,Sylhet,1999,1,17,0
2249,7,Sylhet,1999,1,18,0
2250,7,Sylhet,1999,1,19,0
2251,7,Sylhet,1999,1,20,0
2252,7,Sylhet,1999,1,21,0
2253,7,Sylhet,1999,1,22,0
2254,7,Sylhet,1999,1,23,0
2255,7,Sylhet,1999,1,24,0
2256,7,Sylhet,1999,1,25,0
2257,7,Sylhet,1999,1,26,0
2258,7,Sylhet,1999,1,27,0
2259,7,Sylhet,1999,1,28,0
2260,7,Sylhet,1999,1,29,0
2261,7,Sylhet,1999,1,30,0
2262,7,Sylhet,1999,1,31,0
2263,7,Sylhet,1999,2,1,0
2264,7,Sylhet,1999,2,2,0
2265,7,Sylhet,1999,2,3,0
2266,7,Sylhet,1999,2,4,0
2267,7,Sylhet,1999,2,5,0
2268,7,Sylhet,1999,2,6,0
2269,7,Sylhet,1999,2,7,0
2270,7,Sylhet,1999,2,8,0
2271,7,Sylhet,1999,2,9,0
2272,7,Sylhet,1999,2,10,0
2273,7,Sylhet,1999,2,11,0
2274,7,Sylhet,1999,2,12,0
2275,7,Sylhet,1999,2,13,0
2276,7,Sylhet,1999,2,14,0
2277,7,Sylhet,1999,2,15,0
2278,7,Sylhet,1999,2,16,0
2279,7,Sylhet,1999,2,17,0
2280,7,Sylhet,1999,2,18,0
2281,7,Sylhet,1999,2,19,0
2282,7,Sylhet,1999,2,20,0
2283,7,Sylhet,1999,2,21,0
2284,7,Sylhet,1999,2,22,0
2285,7,Sylhet,1999,2,23,0
2286,7,Sylhet,1999,2,24,0
2287,7,Sylhet,1999,2,25,0
2288,7,Sylhet,1999,2,26,0
2289,7,Sylhet,1999,2,27,0
2290,7,Sylhet,1999,2,28,0
2291,7,Sylhet,1999,2,29,0
2292,7,Sylhet,1999,2,30,0
2293,7,Sylhet,1999,2,31,0
2294,7,Sylhet,1999,3,1,0
2295,7,Sylhet,1999,3,2,0
2296,7,Sylhet,1999,3,3,0
2297,7,Sylhet,1999,3,4,0
2298,7,Sylhet,1999,3,5,0
2299,7,Sylhet,1999,3,6,0
2300,7,Sylhet,1999,3,7,0
2301,7,Sylhet,1999,3,8,0
2302,7,Sylhet,1999,3,9,0
2303,7,Sylhet,1999,3,10,0
2304,7,Sylhet,1999,3,11,0
2305,7,Sylhet,1999,3,12,0
2306,7,Sylhet,1999,3,13,0
2307,7,Sylhet,1999,3,14,0
2308,7,Sylhet,1999,3,15,0
2309,7,Sylhet,1999,3,16,0
2310,7,Sylhet,1999,3,17,0
2311,7,Sylhet,1999,3,18,11
2312,7,Sylhet,1999,3,19,10
2313,7,Sylhet,1999,3,20,0
2314,7,Sylhet,1999,3,21,0
2315,7,Sylhet,1999,3,22,0
2316,7,Sylhet,1999,3,23,0
2317,7,Sylhet,1999,3,24,0
2318,7,Sylhet,1999,3,25,0
2319,7,Sylhet,1999,3,26,14
2320,7,Sylhet,1999,3,27,8
2321,7,Sylhet,1999,3,28,6
2322,7,Sylhet,1999,3,29,0
2323,7,Sylhet,1999,3,30,0
2324,7,Sylhet,1999,3,31,0
2325,7,Sylhet,1999,4,1,34
2326,7,Sylhet,1999,4,2,5
2327,7,Sylhet,1999,4,3,0
2328,7,Sylhet,1999,4,4,0
2329,7,Sylhet,1999,4,5,0
2330,7,Sylhet,1999,4,6,0
2331,7,Sylhet,1999,4,7,9
2332,7,Sylhet,1999,4,8,0
2333,7,Sylhet,1999,4,9,12
2334,7,Sylhet,1999,4,10,0
2335,7,Sylhet,1999,4,11,0
2336,7,Sylhet,1999,4,12,0
2337,7,Sylhet,1999,4,13,0
2338,7,Sylhet,1999,4,14,0
2339,7,Sylhet,1999,4,15,0
2340,7,Sylhet,1999,4,16,49
2341,7,Sylhet,1999,4,17,0
2342,7,Sylhet,1999,4,18,16
2343,7,Sylhet,1999,4,19,0
2344,7,Sylhet,1999,4,20,0
2345,7,Sylhet,1999,4,21,6
2346,7,Sylhet,1999,4,22,0
2347,7,Sylhet,1999,4,23,0
2348,7,Sylhet,1999,4,24,7
2349,7,Sylhet,1999,4,25,45
2350,7,Sylhet,1999,4,26,0
2351,7,Sylhet,1999,4,27,0
2352,7,Sylhet,1999,4,28,0
2353,7,Sylhet,1999,4,29,12
2354,7,Sylhet,1999,4,30,12
