,Year,Month,Day,Cluster,Rainfall
115320,2008,1,1,1,0
115321,2008,1,2,1,0
115322,2008,1,3,1,0
115323,2008,1,4,1,0
115324,2008,1,5,1,0
115325,2008,1,6,1,0
115326,2008,1,7,1,0
115327,2008,1,8,1,0
115328,2008,1,9,1,0
115329,2008,1,10,1,0
115330,2008,1,11,1,0
115331,2008,1,12,1,0
115332,2008,1,13,1,0
115333,2008,1,14,1,0
115334,2008,1,15,1,0
115351,2008,2,1,1,0
115352,2008,2,2,1,0
115353,2008,2,3,1,0
115354,2008,2,4,1,0
115355,2008,2,5,1,0
115356,2008,2,6,1,0
115357,2008,2,7,1,0
115358,2008,2,8,1,0
115359,2008,2,9,1,0
115360,2008,2,10,1,2
115361,2008,2,11,1,0
115362,2008,2,12,1,0
115363,2008,2,13,1,0
115364,2008,2,14,1,0
115365,2008,2,15,1,0
115382,2008,3,1,1,0
115383,2008,3,2,1,0
115384,2008,3,3,1,0
115385,2008,3,4,1,8
115386,2008,3,5,1,12
115387,2008,3,6,1,0
115388,2008,3,7,1,0
115389,2008,3,8,1,0
115390,2008,3,9,1,0
115391,2008,3,10,1,0
115392,2008,3,11,1,0
115393,2008,3,12,1,0
115394,2008,3,13,1,0
115395,2008,3,14,1,0
115396,2008,3,15,1,0
115413,2008,4,1,1,0
115414,2008,4,2,1,0
115415,2008,4,3,1,33
115416,2008,4,4,1,25
115417,2008,4,5,1,0
115418,2008,4,6,1,0
115419,2008,4,7,1,0
115420,2008,4,8,1,0
115421,2008,4,9,1,0
115422,2008,4,10,1,0
115423,2008,4,11,1,0
115424,2008,4,12,1,0
115425,2008,4,13,1,0
115426,2008,4,14,1,25
115427,2008,4,15,1,0
115444,2008,5,1,1,0
115445,2008,5,2,1,0
115446,2008,5,3,1,5
115447,2008,5,4,1,22
115448,2008,5,5,1,0
115449,2008,5,6,1,15
115450,2008,5,7,1,0
115451,2008,5,8,1,1
115452,2008,5,9,1,23
115453,2008,5,10,1,0
115454,2008,5,11,1,2
115455,2008,5,12,1,0
115456,2008,5,13,1,0
115457,2008,5,14,1,2
115458,2008,5,15,1,0
115475,2008,6,1,1,0
115476,2008,6,2,1,0
115477,2008,6,3,1,85
115478,2008,6,4,1,5
115479,2008,6,5,1,22
115480,2008,6,6,1,0
115481,2008,6,7,1,14
115482,2008,6,8,1,0
115483,2008,6,9,1,35
115484,2008,6,10,1,7
115485,2008,6,11,1,1
115486,2008,6,12,1,12
115487,2008,6,13,1,0
115488,2008,6,14,1,0
115489,2008,6,15,1,0
115506,2008,7,1,1,38
115507,2008,7,2,1,88
115508,2008,7,3,1,1
115509,2008,7,4,1,61
115510,2008,7,5,1,10
115511,2008,7,6,1,3
115512,2008,7,7,1,1
115513,2008,7,8,1,1
115514,2008,7,9,1,1
115515,2008,7,10,1,63
115516,2008,7,11,1,11
115517,2008,7,12,1,56
115518,2008,7,13,1,30
115519,2008,7,14,1,3
115520,2008,7,15,1,28
115537,2008,8,1,1,0
115538,2008,8,2,1,4
115539,2008,8,3,1,1
115540,2008,8,4,1,7
115541,2008,8,5,1,2
115542,2008,8,6,1,18
115543,2008,8,7,1,0
115544,2008,8,8,1,0
115545,2008,8,9,1,5
115546,2008,8,10,1,7
115547,2008,8,11,1,65
115548,2008,8,12,1,19
115549,2008,8,13,1,12
115550,2008,8,14,1,8
115551,2008,8,15,1,8
115568,2008,9,1,1,0
115569,2008,9,2,1,0
115570,2008,9,3,1,0
115571,2008,9,4,1,2
115572,2008,9,5,1,7
115573,2008,9,6,1,0
115574,2008,9,7,1,0
115575,2008,9,8,1,35
115576,2008,9,9,1,10
115577,2008,9,10,1,0
115578,2008,9,11,1,0
115579,2008,9,12,1,5
115580,2008,9,13,1,1
115581,2008,9,14,1,3
115582,2008,9,15,1,0
115599,2008,10,1,1,0
115600,2008,10,2,1,0
115601,2008,10,3,1,27
115602,2008,10,4,1,6
115603,2008,10,5,1,1
115604,2008,10,6,1,8
115605,2008,10,7,1,0
115606,2008,10,8,1,0
115607,2008,10,9,1,33
115608,2008,10,10,1,26
115609,2008,10,11,1,0
115610,2008,10,12,1,0
115611,2008,10,13,1,0
115612,2008,10,14,1,0
115613,2008,10,15,1,0
115630,2008,11,1,1,0
115631,2008,11,2,1,0
115632,2008,11,3,1,0
115633,2008,11,4,1,0
115634,2008,11,5,1,0
115635,2008,11,6,1,0
115636,2008,11,7,1,0
115637,2008,11,8,1,0
115638,2008,11,9,1,0
115639,2008,11,10,1,0
115640,2008,11,11,1,0
115641,2008,11,12,1,0
115642,2008,11,13,1,0
115643,2008,11,14,1,0
115644,2008,11,15,1,0
115661,2008,12,1,1,0
115662,2008,12,2,1,0
115663,2008,12,3,1,0
115664,2008,12,4,1,0
115665,2008,12,5,1,0
115666,2008,12,6,1,0
115667,2008,12,7,1,0
115668,2008,12,8,1,0
115669,2008,12,9,1,0
115670,2008,12,10,1,0
115671,2008,12,11,1,0
115672,2008,12,12,1,0
115673,2008,12,13,1,0
115674,2008,12,14,1,0
115675,2008,12,15,1,0
115692,2008,1,1,1,0
115693,2008,1,2,1,0
115694,2008,1,3,1,0
115695,2008,1,4,1,0
115696,2008,1,5,1,0
115697,2008,1,6,1,0
115698,2008,1,7,1,0
115699,2008,1,8,1,0
115700,2008,1,9,1,0
115701,2008,1,10,1,0
115702,2008,1,11,1,0
115703,2008,1,12,1,0
115704,2008,1,13,1,0
115705,2008,1,14,1,0
115706,2008,1,15,1,0
115723,2008,2,1,1,0
115724,2008,2,2,1,0
115725,2008,2,3,1,0
115726,2008,2,4,1,0
115727,2008,2,5,1,0
115728,2008,2,6,1,0
115729,2008,2,7,1,0
115730,2008,2,8,1,0
115731,2008,2,9,1,0
115732,2008,2,10,1,1
115733,2008,2,11,1,0
115734,2008,2,12,1,0
115735,2008,2,13,1,0
115736,2008,2,14,1,0
115737,2008,2,15,1,0
115754,2008,3,1,1,0
115755,2008,3,2,1,0
115756,2008,3,3,1,0
115757,2008,3,4,1,12
115758,2008,3,5,1,11
115759,2008,3,6,1,0
